name,image_filepath,original_image_url,party,state,chamber,district
Timothy Kacena,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18042,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18042,Democratic,ia,House,14
Scott D. Ourth,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10742,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10742,Democratic,ia,House,26
Dennis M. Cohoon,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=100,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=100,Democratic,ia,House,87
Bobby Kaufmann,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10756,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10756,Republican,ia,House,73
Dean Fisher,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10755,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10755,Republican,ia,House,72
Kirsten Running-Marquardt,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9198,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9198,Democratic,ia,House,69
Brian Meyer,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6377,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6377,Democratic,ia,House,33
Tim L. Kapucian,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6567,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6567,Republican,ia,Senate,38
Matt W. Windschitl,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6282,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6282,Republican,ia,House,17
Mary Lynn Wolfe,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9397,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9397,Democratic,ia,House,98
Dave Jacoby,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=320,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=320,Democratic,ia,House,74
Dave Deyoe,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6289,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6289,Republican,ia,House,49
Gary M. Mohr,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18038,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18038,Republican,ia,House,94
Linda L. Upmeyer,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=180,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=180,Republican,ia,House,54
Janet Petersen,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=72,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=72,Democratic,ia,Senate,18
Jason Schultz,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6588,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6588,Republican,ia,Senate,9
Jo Oldson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=228,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=228,Democratic,ia,House,41
Charles Isenhart,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6575,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6575,Democratic,ia,House,100
Amy Nielsen,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18050,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18050,Democratic,ia,House,77
Ashley Hinson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18049,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18049,Republican,ia,House,67
Rich Taylor,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10735,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10735,Democratic,ia,Senate,42
Bruce Hunter,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=317,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=317,Democratic,ia,House,34
Vicki Lensing,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=45,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=45,Democratic,ia,House,85
Waylon Brown,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18074,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18074,Republican,ia,Senate,26
Lee Hein,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9398,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9398,Republican,ia,House,96
Kevin Kinney,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14817,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14817,Democratic,ia,Senate,39
Amy Sinclair,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10729,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10729,Republican,ia,Senate,14
Art Staed,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10743,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10743,Democratic,ia,House,66
Phyllis Thede,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6577,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6577,Democratic,ia,House,93
Randy Feenstra,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6565,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=6565,Republican,ia,Senate,2
Tom Shipley,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14814,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14814,Republican,ia,Senate,11
Mary A. Gaskill,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=255,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=255,Democratic,ia,House,81
Mark S. Lofgren,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9406,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9406,Republican,ia,Senate,46
Beth Wessel-Kroeschell,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=774,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=774,Democratic,ia,House,45
Ken Rozenboom,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10731,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10731,Republican,ia,Senate,40
Sandy Salmon,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10754,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10754,Republican,ia,House,63
John Landon,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10751,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10751,Republican,ia,House,37
Norlin G. Mommsen,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14810,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14810,Republican,ia,House,97
John Forbes,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10739,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10739,Democratic,ia,House,40
Charlie McConkey,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14801,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14801,Democratic,ia,House,15
Mary Ann Hanusa,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9412,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9412,Republican,ia,House,16
Bruce Bearinger,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10738,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10738,Democratic,ia,House,64
Gary L. Carlson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14808,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14808,Republican,ia,House,91
